Tipo_Noticia,Texto,Classificação,Percentual_Negativa,Percentual_Positiva,Percentual_Neutra,Data_Cadastro
Desmatamento,o numero de desmatamento no brasil esta crescendo a cada ano,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,apesar do grande desmatamento em nosso pais a policia vem conseguindo a cada ano intervir mais contra quem comete esse crime,Positiva,,,,2025-05-03 00:00:00
Mudanças Climáticas,um levantamento da federacao do comercio de sao paulo fecomerciosp que analisou empresas paulistas revela que dos estabelecimentos sofreram impactos de eventos climaticos extremos em as consequencias vao desde a interrupcao de operacoes por chuvas intensas ate o desabastecimento causado pelo calor extremo alem disso relataram prejuizos financeiros devido as condicoes adversas do clima eventos climaticos intensos como temporais com alagamentos quedas de arvores e ,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,fornece dados sobre queimadas no pais aponta queda historica em marco com avanco de incendios no cerrado giovanna machadoda cnn em sao paulo o brasil teve uma queda expressiva na area atingida por queimadas nos tres primeiros meses de segundo dados do monitor do fogo plataforma do mapbiomas o pais registrou mil hectares queimados entre janeiro e marco uma reducao de em relacao ao mesmo periodo de quando as queimadas ultrapassaram milhoes de hectares a maior parte da area queimada se concentrou na amazonia responsavel por do total com mil hectares afetados o estado de roraima liderou o ranking estadual somando mil hectares queimados no trimestre seguido pelo para mil ha e maranhao mil ha segundo felipe martenexen pesquisador do ipam e do mapbiomas fogo o destaque de roraima se explica pelo seu regime climatico distinto enquanto boa parte do brasil vive o periodo chuvoso roraima enfrenta sua estacao seca o que torna o estado mais vulneravel as queimadas nesse periodo pontua em marco de foram registrados mil hectares queimados o que representa uma queda de em comparacao ao mesmo mes do ano passado a amazonia respondeu por da area atingida com mil hectares queimados enquanto o cerrado foi responsavel por mil hectares apesar da tendencia geral de reducao o cerrado segue sendo motivo de preocupacao o bioma teve um aumento de na area queimada no trimestre em relacao a e marco registrou um crescimento de em relacao a media historica do mes esse dado reforca a importancia de estrategias especificas de prevencao e combate ao fogo para cada bioma brasileiro alerta vera arruda pesquisadora do ipam e do mapbiomas fogo desde o monitor do fogo realiza o mapeamento mensal das areas queimadas no brasil utilizando imagens de satelite com resolucao de metros a plataforma permite acompanhar em tempo quase real a extensao e a localizacao das areas afetadas sendo uma ferramenta estrategica para a gestao ambiental e o enfrentamento das mudancas climaticas todos os dados mapas e relatorios estao disponiveis publicamente no site do mapbiomas sob supervisao fique por dentro das ultimas noticias inscrevase em nossa newsletter e nao perca nenhum detalhe mais recentes da cnn,Positiva,,,,2025-05-03 00:00:00
Tecnologia Ambiental,apesar do desmatamento crescente novas tecnologias ajudam a detectar e prevenir queimadas com maior eficiencia,Positiva,,,,2025-05-03 00:00:00
Desmatamento,relatorio anual sobre desmatamento mostra numeros estaveis em comparacao ao ano anterior,Neutra,,,,2025-05-03 00:00:00
Desmatamento,desmatamento na amazonia bate novo recorde aumentando preocupacoes com a preservacao do bioma,Negativa,,,,2025-05-03 00:00:00
Restauração Ecológica,programa de reflorestamento recupera areas degradadas e ja conseguiu plantar milhoes de arvores nativas,Positiva,,,,2025-05-03 00:00:00
Mudanças Climáticas,especialistas debatem a relacao entre queimadas e mudancas climaticas em conferencia internacional,Neutra,,,,2025-05-03 00:00:00
Queimadas,queimadas descontroladas causam destruicao de milhares de hectares de vegetacao nativa,Negativa,,,,2025-05-03 00:00:00
Tecnologia Ambiental,monitoramento por satelite permite uma rapida identificacao de focos de incendio reduzindo danos ambientais,Positiva,,,,2025-05-03 00:00:00
Políticas Públicas,governo anuncia novos mecanismos para monitoramento ambiental sem efeitos imediatos na preservacao,Neutra,,,,2025-05-03 00:00:00
Desmatamento,novo estudo aponta que a floresta amazonica pode estar se aproximando do ponto de nao retorno devido ao desmatamento,Negativa,,,,2025-05-03 00:00:00
Conservação,comunidades indigenas fortalecem projetos de preservacao ajudando na conservacao de florestas tropicais,Positiva,,,,2025-05-03 00:00:00
Políticas Públicas,pesquisa revela que politicas de combate ao desmatamento precisam de mais investimento para serem eficazes,Neutra,,,,2025-05-03 00:00:00
Poluição,a fumaca gerada por incendios florestais afeta a qualidade do ar e a saude de milhoes de pessoas,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,parcerias internacionais ampliam investimentos na protecao da amazonia garantindo mais recursos para fiscalizacao,Positiva,,,,2025-05-03 00:00:00
Queimadas,queimadas em areas de pastagem continuam acontecendo mas sem grandes alteracoes nos indices,Neutra,,,,2025-05-03 00:00:00
Queimadas,numero de incendios criminosos cresce dificultando acoes de combate e fiscalizacao,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,esforcos de conscientizacao reduzem o numero de queimadas ilegais em diversas regioes do brasil,Positiva,,,,2025-05-03 00:00:00
Conservação,organizacoes ambientais discutem desafios e avancos na protecao da floresta amazonica,Neutra,,,,2025-05-03 00:00:00
Biodiversidade,especies ameacadas de extincao sofrem grande impacto devido a destruicao do habitat natural,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,governo intensifica acoes contra o desmatamento e aumenta multas para crimes ambientais,Positiva,,,,2025-05-03 00:00:00
Tecnologia Ambiental,novas tecnologias surgem para combater incendios florestais mas ainda enfrentam limitacoes,Neutra,,,,2025-05-03 00:00:00
Queimadas,falta de fiscalizacao permite avanco de queimadas ilegais em areas protegidas,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,empresas do agronegocio adotam praticas sustentaveis para reduzir impactos ambientais,Positiva,,,,2025-05-03 00:00:00
Queimadas,relatorio aponta reducao das queimadas em algumas regioes mas aumento em outras,Neutra,,,,2025-05-03 00:00:00
Desmatamento,expansao da fronteira agricola contribui para a perda acelerada de cobertura vegetal nativa,Negativa,,,,2025-05-03 00:00:00
Queimadas,brigadas especializadas conseguem conter incendios florestais antes que eles se espalhem,Positiva,,,,2025-05-03 00:00:00
Políticas Públicas,esforcos para conter o desmatamento seguem em andamento mas resultados concretos sao aguardados,Neutra,,,,2025-05-03 00:00:00
Biodiversidade,comunidades locais enfrentam dificuldades economicas devido a degradacao ambiental causada por incendios,Negativa,,,,2025-05-03 00:00:00
Restauração Ecológica,projetos de restauracao ecologica mostram resultados promissores na recuperacao de areas afetadas,Positiva,,,,2025-05-03 00:00:00
Políticas Públicas,debate sobre alternativas sustentaveis para reduzir a necessidade de queimadas na agricultura ganha destaque,Neutra,,,,2025-05-03 00:00:00
Mudanças Climáticas,impacto do desmatamento na regulacao climatica preocupa cientistas que alertam para consequencias futuras,Negativa,,,,2025-05-03 00:00:00
